Trial,Friendliness,Curtness,Warmth,Rude,Length,Source
224.2,6,1,7,1,298,Confederate
226.1,2,4,2,1,36,Confederate
227.2,7,1,6,1,95,Confederate
232.1,3,5,2,2,64,Confederate
234.1,3,2,3,1,60,Confederate
234.5,3,1,2,1,57,Confederate
234.7,3,3,2,1,42,Confederate
240.3,4,3,4,2,59,Confederate
240.5,5,1,5,1,69,Confederate
243.1,4,4,3,1,99,Confederate
246.1,6,3,4,1,56,Confederate
248.1,7,2,6,1,68,Confederate
248.2,7,1,6,1,161,Confederate
251.1,5,2,5,1,96,Confederate
251.2,5,3,5,1,98,Confederate
251.3,4,2,4,1,55,Confederate
256.1,6,1,6,2,218,Confederate
258.1,1,5,2,3,32,Confederate
259.1,3,4,3,3,162,Confederate
262.1,7,1,7,1,61,Confederate
264.1,5,2,5,1,61,Confederate
264.2,5,2,5,1,74,Confederate
266.2,3,3,2,1,63,Confederate
272.3,3,2,4,1,54,Confederate
275.2,7,1,6,1,60,Confederate
278.2,3,5,3,4,833,Confederate
286.1,7,1,7,1,76,Confederate
288.1,4,2,3,1,125,Confederate
288.2,6,1,7,1,247,Confederate
288.3,7,1,6,1,105,Confederate
290.2,1,7,1,6,24,Confederate
294.1,4,4,4,2,55,Confederate
296.1,4,1,3,2,82,Confederate
299.1,5,1,5,1,72,Confederate
300.1,3,2,2,5,51,Confederate
301.3,4,4,4,1,47,Confederate
303.1,4,1,4,1,55,Confederate
303.2,4,2,3,1,226,Confederate
303.4,3,2,3,1,46,Confederate
304.1,4,3,3,1,142,Confederate
304.2,2,3,3,1,40,Confederate
304.3,2,5,2,2,111,Confederate
305.2,5,1,3,1,114,Confederate
306.1,2,3,2,1,53,Confederate
307.1,2,5,3,2,39,Confederate
308.1,6,2,5,1,332,Confederate
309.1,5,1,5,1,359,Confederate
309.2,5,1,5,1,152,Confederate
310.1,2,4,2,1,34,Confederate
311.1,3,1,2,1,83,Confederate
311.2,4,1,3,1,107,Confederate
312.2,5,1,6,1,67,Confederate
313.1,3,1,4,1,94,Confederate
313.2,3,3,2,1,62,Confederate
313.3,4,1,3,1,101,Confederate
314.1,6,1,6,1,132,Confederate
315.1,3,4,2,1,61,Confederate
316.2,5,1,5,1,76,Confederate
316.3,5,1,4,1,168,Confederate
317.1,4,3,3,2,83,Confederate
317.2,4,1,4,1,55,Confederate
319.1,3,2,3,1,58,Confederate
319.2,2,3,2,1,34,Confederate
319.3,2,4,2,1,22,Confederate
320.1,4,2,3,1,77,Confederate
320.2,3,3,3,1,70,Confederate
322.1,3,2,2,1,63,Confederate
322.3,3,3,2,1,85,Confederate
323.1,5,1,4,1,45,Confederate
324.1,4,1,4,1,41,Confederate
325.1,2,5,2,1,73,Confederate
325.3,6,1,6,1,100,Confederate
325.5,3,1,3,1,214,Confederate
326.1,3,3,3,1,38,Confederate
326.3,3,4,2,3,46,Confederate
331.1,6,1,5,1,61,Confederate
331.2,5,1,4,1,72,Confederate
